turkish_sentence,english_sentence,english_word,turkish_word,word_info
Soğuk su içtim.,I drank cold ___.,water,su,[noun]
Büyük bir köpek gördüm.,I saw a big ___.,dog,köpek,[noun]
Masada taze ekmek var.,There is fresh ___ on the table.,bread,ekmek,[noun]
Masada kırmızı bir elma var.,There is a red ___ on the table.,apple,elma,[noun]
Pencereden ay görünüyor.,The ___ is visible from the window.,moon,ay,[noun]
Güneş parlak şekilde parlıyor.,The ___ is shining brightly.,sun,güneş,[noun]
Büyük bir köpek gördüm.,I saw a big ___.,dog,köpek,[noun]
Pencereden ay görünüyor.,The ___ is visible from the window.,moon,ay,[noun]
Kitaplıkta ilginç bir kitap buldum.,I found an interesting ___ in the library.,book,kitap,[noun]
Masada kırmızı bir elma var.,There is a red ___ on the table.,apple,elma,[noun]
Kitaplıkta ilginç bir kitap buldum.,I found an interesting ___ in the library.,book,kitap,[noun]
Masada taze ekmek var.,There is fresh ___ on the table.,bread,ekmek,[noun]
Masada kırmızı bir elma var.,There is a red ___ on the table.,apple,elma,[noun]
Büyük bir köpek gördüm.,I saw a big ___.,dog,köpek,[noun]
Ağaçta bir kuş var.,There is a ___ in the tree.,bird,kuş,[noun]
Pencereden ay görünüyor.,The ___ is visible from the window.,moon,ay,[noun]
Güneş parlak şekilde parlıyor.,The ___ is shining brightly.,sun,güneş,[noun]
Kedim süt içmeyi sever.,My cat likes to drink ___.,milk,süt,[noun]
Güneş parlak şekilde parlıyor.,The ___ is shining brightly.,sun,güneş,[noun]
Pencereden ay görünüyor.,The ___ is visible from the window.,moon,ay,[noun]
Büyük bir köpek gördüm.,I saw a big ___.,dog,köpek,[noun]
Yeni bir ev satın aldılar.,They bought a new ___.,house,ev,[noun]
Güneş parlak şekilde parlıyor.,The ___ is shining brightly.,sun,güneş,[noun]
Kitaplıkta ilginç bir kitap buldum.,I found an interesting ___ in the library.,book,kitap,[noun]
Ağaçta bir kuş var.,There is a ___ in the tree.,bird,kuş,[noun]
Soğuk su içtim.,I drank cold ___.,water,su,[noun]
Masada taze ekmek var.,There is fresh ___ on the table.,bread,ekmek,[noun]
Masada taze ekmek var.,There is fresh ___ on the table.,bread,ekmek,[noun]
Kedim süt içmeyi sever.,My cat likes to drink ___.,milk,süt,[noun]
Yeni bir ev satın aldılar.,They bought a new ___.,house,ev,[noun]
Ağaçta bir kuş var.,There is a ___ in the tree.,bird,kuş,[noun]
Masada kırmızı bir elma var.,There is a red ___ on the table.,apple,elma,[noun]
Ağaçta bir kuş var.,There is a ___ in the tree.,bird,kuş,[noun]
Güneş parlak şekilde parlıyor.,The ___ is shining brightly.,sun,güneş,[noun]
Yeni bir ev satın aldılar.,They bought a new ___.,house,ev,[noun]
Kitaplıkta ilginç bir kitap buldum.,I found an interesting ___ in the library.,book,kitap,[noun]
Ağaçta bir kuş var.,There is a ___ in the tree.,bird,kuş,[noun]
Soğuk su içtim.,I drank cold ___.,water,su,[noun]
Büyük bir köpek gördüm.,I saw a big ___.,dog,köpek,[noun]
Pencereden ay görünüyor.,The ___ is visible from the window.,moon,ay,[noun]
Masada kırmızı bir elma var.,There is a red ___ on the table.,apple,elma,[noun]
